time,datetime,idle_time,usr_time,irq_time,mem_total,mem_available,mem_percent
1729864969043,2024-10-25 16:02:49,145883.14,2909.5,0.0,14465609728,10540924928,27.1
1729864970044,2024-10-25 16:02:50,145894.48,2909.91,0.0,14465609728,10539380736,27.1
1729864971045,2024-10-25 16:02:51,145905.92,2910.24,0.0,14465609728,10544762880,27.1
1729864972046,2024-10-25 16:02:52,145917.37,2910.62,0.0,14465609728,10547793920,27.1
1729864973048,2024-10-25 16:02:53,145928.81,2911.03,0.0,14465609728,10546122752,27.1
1729864974049,2024-10-25 16:02:54,145940.14,2911.45,0.0,14465609728,10527236096,27.2
1729864975050,2024-10-25 16:02:55,145951.61,2911.81,0.0,14465609728,10530902016,27.2
1729864976051,2024-10-25 16:02:56,145963.06,2912.14,0.0,14465609728,10530738176,27.2
1729864977053,2024-10-25 16:02:57,145974.32,2912.61,0.0,14465609728,10539720704,27.1
1729864978055,2024-10-25 16:02:58,145985.52,2913.13,0.0,14465609728,10535170048,27.2
1729864979057,2024-10-25 16:02:59,145996.6,2913.68,0.0,14465609728,10529705984,27.2
1729864980059,2024-10-25 16:03:00,146008.16,2913.92,0.0,14465609728,10529701888,27.2
1729864981061,2024-10-25 16:03:01,146019.74,2914.12,0.0,14465609728,10530656256,27.2
1729864982063,2024-10-25 16:03:02,146031.4,2914.28,0.0,14465609728,10536017920,27.2
1729864983064,2024-10-25 16:03:03,146043.11,2914.41,0.0,14465609728,10557542400,27.0
1729864984066,2024-10-25 16:03:04,146054.62,2914.61,0.0,14465609728,10554658816,27.0
1729864985068,2024-10-25 16:03:05,146066.28,2914.79,0.0,14465609728,10554793984,27.0
1729864986070,2024-10-25 16:03:06,146077.65,2915.07,0.0,14465609728,10554032128,27.0
1729864987072,2024-10-25 16:03:07,146089.3,2915.24,0.0,14465609728,10554462208,27.0
1729864988074,2024-10-25 16:03:08,146100.96,2915.42,0.0,14465609728,10554466304,27.0
1729864989076,2024-10-25 16:03:09,146112.47,2915.66,0.0,14465609728,10552922112,27.0
